item_id,task,category,target,distractor,target_support,distractor_support,support_gap,abs_support_gap,evidence_direction,target_aligned,ambiguous_direction,abs_gap_ge_0p05,target_gap_ge_0p05,distractor_gap_ge_0p05,abs_gap_ge_0p1,target_gap_ge_0p1,distractor_gap_ge_0p1,abs_gap_ge_0p25,target_gap_ge_0p25,distractor_gap_ge_0p25
memotrap_32,memotrap,round_2,bark.,bite.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_33,memotrap,round_2,me.,ever.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_34,memotrap,round_2,mine.,it.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_37,memotrap,round_2,good.,cheapest.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_38,memotrap,round_2,evil.,best.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_39,memotrap,round_2,trusted.,bankrupt.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_40,memotrap,round_2,trusted.,choosers.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_41,memotrap,round_2,death.,Devil.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_42,memotrap,round_2,wrong.,right.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_43,memotrap,round_2,start.,ending.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_44,memotrap,round_2,finished.,done.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_45,memotrap,round_2,food.,sorrow.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_46,memotrap,round_2,peace.,victory.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_47,memotrap,round_2,better.,good.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_48,memotrap,round_2,early.,never.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_49,memotrap,round_2,ill.,sorry.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_50,memotrap,round_2,not.,overdone.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_51,memotrap,round_2,beasts.,wolves.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_52,memotrap,round_2,game.,bush.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_53,memotrap,round_2,Guide.,together.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_54,memotrap,round_2,kill.,catch.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_55,memotrap,round_2,clothes.,birds.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_56,memotrap,round_2,food.,nest.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_57,memotrap,round_2,call.,worm.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_58,memotrap,round_2,talk.,bite.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_59,memotrap,round_2,swallow.,chew.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_60,memotrap,round_2,it.,you.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_61,memotrap,round_2,blood.,water.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_62,memotrap,round_2,up.,itself.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_63,memotrap,round_2,book.,friend.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_64,memotrap,round_2,book.,evil.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_66,memotrap,round_2,themselves.,me.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_67,memotrap,round_2,like.,read.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_68,memotrap,round_2,title.,cover.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_69,memotrap,round_2,word.,book.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_70,memotrap,round_2,artist.,book.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_71,memotrap,round_2,this.,it.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_72,memotrap,round_2,burned.,digested.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_73,memotrap,round_2,caution.,boats.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_74,memotrap,round_2,room.,boat.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_75,memotrap,round_2,shoes.,boots.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_76,memotrap,round_2,talk.,listen.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_77,memotrap,round_2,down.,lowest.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_78,memotrap,round_2,arrow.,break.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_79,memotrap,round_2,milk.,meal.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_80,memotrap,round_2,honor.,fair.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_81,memotrap,round_2,rich.,brave.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_82,memotrap,round_2,more.,bread.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_83,memotrap,round_2,one.,it.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_84,memotrap,round_2,week.,day.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_86,memotrap,round_2,it.,cleane.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_87,memotrap,round_2,shot.,gentleman.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_88,memotrap,round_2,cow.,bull.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_89,memotrap,round_2,threat.,coward.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_93,memotrap,round_2,affairs.,business.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_95,memotrap,round_2,well.,dearly.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_96,memotrap,round_2,harder.,once.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
memotrap_97,memotrap,round_2,all.,too.,1.0,0.0,1.0,1.0,target,True,False,True,True,False,True,True,False,True,True,False
